name_norm,latitude,longitude,country,is_city,is_main_station,is_airport
Malaga Aeropuerto,36.675646,-4.487032,Espagne,FAUX,FAUX,VRAI
Aeropuerto Alacant-Altet Bus,38.287366,-0.559905,Espagne,FAUX,FAUX,VRAI
Jerez-Aeropuerto,36.751381,-6.066325,Espagne,FAUX,FAUX,VRAI
Madrid-Barajas T4,40.49172,-3.593599,Espagne,FAUX,FAUX,VRAI
Heathrow Terminal 4 Bus,51.459275,-0.44662,Royaume-Uni,FAUX,FAUX,VRAI
Heathrow Terminal 4 Rail,51.458214,-0.445447,Royaume-Uni,FAUX,FAUX,VRAI
Heathrow Terminal 5 Rail,51.47,-0.48,Royaume-Uni,FAUX,FAUX,VRAI
Luton Airport Parkway,51.871159,-0.393485,Royaume-Uni,FAUX,FAUX,VRAI
Prestwick International Airport,55.511513,-4.616166,Royaume-Uni,FAUX,FAUX,VRAI
Rhoose Cardiff Airport,51.387454,-3.347599,Royaume-Uni,FAUX,FAUX,VRAI
Southend Airport,51.5687,0.704084,Royaume-Uni,FAUX,FAUX,VRAI
Teesside Airport,54.518147,-1.425305,Royaume-Uni,FAUX,FAUX,VRAI
Glasgow Airport,55.865803,-4.432114,Royaume-Uni,FAUX,FAUX,VRAI
Heathrow Terminal 5 Bus,51.47,-0.48,Royaume-Uni,FAUX,FAUX,VRAI
Heathrow Terminals 1-2-3 Bus,51.471,-0.456,Royaume-Uni,FAUX,FAUX,VRAI
Newcastle Airport,55.03588,-1.71209,Royaume-Uni,FAUX,FAUX,VRAI
Cardiff International Airport,51.396667,-3.343333,Royaume-Uni,FAUX,FAUX,VRAI
Edinburgh Airport,55.95,-3.3725,Royaume-Uni,FAUX,FAUX,VRAI
Bergamo-Orio al Serio Aeroporto,45.6714082,9.693355,Italie,FAUX,FAUX,VRAI
Malpensa Aeroporto T2,45.646821,8.723376,Italie,FAUX,FAUX,VRAI
Lamezia Terme Aeroporto,38.90539,16.24227,Italie,FAUX,FAUX,VRAI
Malpensa Aeroporto,45.627934,8.710828,Italie,FAUX,FAUX,VRAI
Flughafen Graz-Feldkirchen,46.997636,15.449643,Autriche,FAUX,FAUX,VRAI
Aeroport Paris Roissy Charles de Gaulle CDG T2 B-D,49.00406,2.56461,France,FAUX,FAUX,VRAI
Aeroport Paris Roissy Charles de Gaulle CDG T2 E-F,49.00422,2.57701,France,FAUX,FAUX,VRAI
Aeroport Paris Roissy Charles de Gaulle CDG T1,49.004607,2.579707,France,FAUX,FAUX,VRAI
Wien Flughafen (CAT),48.120833,16.563056,Autriche,FAUX,FAUX,VRAI
Basel EuroAirport,47.600729,7.531714,France,FAUX,FAUX,VRAI
Gothenburg Airport (Landvetter),57.668799,12.292314,Suède,FAUX,FAUX,VRAI
Stockholm Airport (Arlanda),59.6497622,17.9237807,Suède,FAUX,FAUX,VRAI
Frankfurt Hahn,49.946788,7.270911,Allemagne,FAUX,FAUX,VRAI
